sampleID,region,location,siteID,depth,filter,subset,lat,long,MPA,management,restriction,npp_mean,land_area_20km,land_area_25km,reef_area_15km,reef_area_20km,wave_mean,pop2020_25km,dist_market,land_area_15km,avg_complexity,cover,detritAbund,carniAbund,herbAbund,invertAbund,omniAbund,planktAbund,coraliAbund,NAAbund,fishBiomass,hardCoral_percent,availSubstrate_percent,other_percent,rubble_percent,algae_percent,softCoral_percent,noData_percent,abundance,target_biomass,nontarget_biomass,total_biomass,copepod_percent_v9,anthozoa_percent,ascidian_percent,bivalve_percent,copepod_percent,sponge_percent,filterFeeder_percent
EB235,Wakatobi,Wakatobi,WK_03,M,0.4um,M04,-5.326,123.461,no,open access,unrestricted fishing,867.1335542,174.7560761,182.2050119,24.5,65.75,0.095367162,34280,179.8280717,103.4497787,2.733333333,0.236666667,60,32,118,32,52,805,25,2,17935.35927,23.66666667,21.33333333,5,29,0,21,0,1126,9816.623427,8118.735842,17935.35927,0.019074553,0.001284438,0,0,0,0,0.000095429
EB239,Wakatobi,Wakatobi,WK_04,M,0.4um,M04,-5.424,123.584,no,open access,unrestricted fishing,985.7419157,202.4207485,226.4660267,56.5,124,0.228669307,41346,196.4221329,135.1591965,2.733333333,0.473333333,48,28,44,35,166,89,15,0,21804.11832,47.33333333,23.33333333,0.333333333,12.33333333,4.333333333,12.33333333,0,425,14105.29836,7698.819965,21804.11832,0.017896624,0.039798975,0,0.000366494,0,0.001058761,0.041128801
EB242,Wakatobi,Wakatobi,WK_05,M,0.4um,M04,-5.458,123.379,no,open access,unrestricted fishing,947.3853581,18.0920526,50.01947426,88,123,0.871658225,8232,187.942854,0,1.866666667,0.283333333,50,51,152,38,125,854,22,66,28327.64549,28.33333333,26.33333333,3,19.33333333,0.666666667,22.33333333,0,1358,17901.91042,10425.73507,28327.64549,0.120671061,0.040850399,0.000587413,0.000366494,0,0.000643357,0.002377623
EB245,Wakatobi,Wakatobi,WK_06,M,0.4um,M04,-5.543,123.392,no,open access,unrestricted fishing,1058.342708,0,14.89923853,112.5,127,0.843335192,2754,196.9008473,0,2.066666667,0.343333333,57,26,48,60,321,612,25,3,28186.07622,34.33333333,12.66666667,10,0,0.333333333,42.66666667,0,1152,13522.36251,14663.71371,28186.07622,0.097971296,0.007475453,0.000446247,0.000689655,0,0.000851927,0.008316429
EB248,Wakatobi,Wakatobi,WK_08,M,0.4um,M04,-5.788,123.846,no,open access,unrestricted fishing,1048.284001,74.44419875,143.7822626,236.5,350.25,1.321917806,24992,246.0242091,62.95959035,2.2,0.303333333,22,34,53,57,196,939,28,0,50531.60146,30.33333333,18.66666667,9.666666667,4,4.666666667,32.66666667,0,1329,37718.94333,12812.65813,50531.60146,0.216187707,0.569849379,0,0.000689655,0,0,0.563520779
EB251,Wakatobi,Wakatobi,WK_09,M,0.4um,M04,-5.723,123.894,no,open access,unrestricted fishing,969.0698235,102.9582135,149.3296001,103,227.25,0.128426378,25950,243.2665464,69.5534643,2.933333333,0.766666667,28,28,53,46,443,706,15,0,36067.31076,76.66666667,10,1.333333333,3.666666667,0.333333333,8,0,1319,19100.90041,16966.41034,36067.31076,0.007061984,0.599009183,0.000491918,0.000421644,0,0.084750527,0.121152493
EB253,Wakatobi,Wakatobi,WK_11,M,0.4um,M04,-5.905,123.845,no,open access,unrestricted fishing,1011.125724,90.38005444,159.2843273,224.5,291.75,1.405217843,26486,256.7403893,15.09906607,2.533333333,0.283333333,30,26,29,46,114,244,72,0,25473.94951,28.33333333,12,5,0.666666667,0.333333333,53.66666667,0,561,14996.26569,10477.68381,25473.94951,0.029150078,0.037579383,0.000512076,0.000421644,0,0.000341384,0.002944439
EB257,Wakatobi,Wakatobi,WK_15,M,0.4um,M04,-5.676,123.651,no,open access,unrestricted fishing,2095.163726,25.74574647,80.21862311,203.75,264.75,1.132905659,13396,223.8305197,0,2.8,0.583333333,41,20,54,154,181,491,12,2,23536.28609,58.33333333,10.33333333,4,4.333333333,0.333333333,22.66666667,0,955,9960.22543,13576.06066,23536.28609,0.061628748,0.066125629,0,0,0,0.004217493,0.005385415
EB260,Wakatobi,Wakatobi,WK_16,M,0.4um,M04,-5.555,123.752,no,open access,unrestricted fishing,1016.205821,100.4333179,115.9694769,119.25,198.25,0.106969915,19839,219.0030524,97.66663687,3,0.73,24,33,63,62,132,370,23,2,10846.02494,73,10,5.666666667,0,1,10.33333333,0,709,5146.10827,5699.916672,10846.02494,0.007651617,0.044711193,0.000906208,0,0,0.000181242,0.044630721
EB266,Wakatobi,Wakatobi,WK_20,M,0.4um,M04,-5.459,123.755,no,open access,unrestricted fishing,914.5759287,128.953382,186.2113763,95,146,0.381766785,32825,210.7543075,79.5822421,2.533333333,0.416666667,20,18,47,40,149,355,19,1,33471.72296,41.66666667,13,7,14.33333333,0,24,0,649,18207.12884,15264.59411,33471.72296,0.20955696,NA,NA,NA,NA,NA,NA
EB277,Wakatobi,Wakatobi,WK_12,M,0.4um,M04,-5.847,123.818,no,open access,unrestricted fishing,1043.463722,70.61390447,125.6894159,293.75,351,1.357277533,20870,249.7609271,19.14222119,2.2,0.226666667,41,27,64,63,59,287,16,2,31915.29284,22.66666667,20,16,7,0,34.33333333,0,559,16322.3099,15592.98294,31915.29284,0.067743128,0.067048686,0,0,0,0.003357656,0.068315363
EB282,Wakatobi,Wakatobi,WK_18,M,0.4um,M04,-5.467,123.71,no,open access,unrestricted fishing,949.6366153,152.3699045,224.9519383,87.25,147,1.073461905,39806,208.378321,81.07608306,2,0.303333333,75,24,135,25,134,60,9,4,17909.27234,30.33333333,16,0.666666667,40,0,13,0,466,9628.058328,8281.214013,17909.27234,0.204506031,0.04731636,0,0.000131619,0,0.000131619,0.004036326
EB3,Waigeo,Waigeo,WGO_01,M,0.4um,M04,-0.589444444,130.6044444,yes,core zone,fishing prohibited,1210.760869,220.8199418,282.1709788,54.75,77.75,0.052511124,2009,437.1314232,123.3423394,3.7,0.34,20,65,110,45,177,967,25,149,77305.77708,34,14,4.5,22,2,23.5,0,1558,51034.08551,26271.69158,77305.77708,0.336332122,0.026621673,0,0.413507765,0,0,0.42547934
EB359,Lombok,Northeast Lombok,LBK_02,M,0.4um,M04,-8.315,116.7253167,yes,sustainable fisheries zone,fishing gear restriction,900.5713833,341.8013893,531.7204655,54.25,64.25,0.954626151,407357,71.56842859,199.0369405,1.666666667,0.203333333,36,62,175,88,268,752,29,0,10902.12452,20.33333333,50.5,3.833333333,18,1,6.333333333,0,1410,3493.510855,7408.613668,10902.12452,0.241108803,0.011541309,0,0.011963744,0.001132355,0.00143722,0.023169723
EB363,Lombok,Northeast Lombok,LBK_03,M,0.4um,M04,-8.309566667,116.7127833,yes,sustainable fisheries zone,fishing gear restriction,900.5713833,367.1843139,559.8537439,51.25,61.75,0.954626151,429531,70.58391556,217.4401315,3.2,0.218333333,36,100,103,132,448,1312,34,0,16556.66597,21.83333333,33,6.5,29,1,8.5,0.166666667,2165,8383.064581,8173.601393,16556.66597,0.08802297,0.00361475,0,0.044517282,0.000513661,0.006261771,0.054203459
EB367,Lombok,Northeast Lombok,LBK_04,M,0.4um,M04,-8.297216667,116.6881667,yes,core zone,fishing prohibited,877.5691405,412.663856,611.8919578,40.5,59.75,0.026126912,463448,68.79240955,244.7302426,3,0.475,78,64,131,83,1251,1023,35,407,39346.05227,47.5,22.5,5.5,18.66666667,0.333333333,5.5,0,3072,9693.194732,29652.85753,39346.05227,0.244594668,0.028833438,0.003377056,0.069439064,0,0.065387629,0.163958498
EB371,Lombok,Northeast Lombok,LBK_05,M,0.4um,M04,-8.411633333,116.7554,no,open access,unrestricted fishing,1029.115738,388.9192626,691.9235756,71.25,89.5,0.070495012,431019,70.88872394,198.1680403,2.266666667,0.246666667,45,25,111,64,147,211,38,325,21620.04406,24.66666667,5.166666667,5,9.833333333,7.5,47.66666667,0.166666667,966,4966.224595,16653.81946,21620.04406,0.024972034,0.066243285,0,0.128085042,0,0.027581396,0.12671591
EB374,Lombok,Northeast Lombok,LBK_06,M,0.4um,M04,-8.442866667,116.7336,no,open access,unrestricted fishing,1175.291511,495.6898374,835.4742113,73.75,87.5,0.048880334,518384,67.67132061,248.2781316,2.066666667,0.118333333,113,24,110,65,377,324,27,574,23025.2964,11.83333333,13.33333333,1.5,17.66666667,3,52.66666667,0,1614,7022.145574,16003.15083,23025.2964,0.033660799,0.007813171,0.000146622,0.0194285,0.000476522,0.008577397,0.034932736
EB382,Lombok,South Lombok,LBK_12,M,0.4um,M04,-8.734083333,115.91575,yes,sustainable fisheries zone,fishing gear restriction,1191.546604,370.5806322,547.8624412,32,37.25,0.021337688,482622,29.10140489,239.588471,1.6,0.211666667,88,57,98,84,422,773,49,963,31663.8451,21.16666667,9,4.5,49.33333333,0.666666667,15.33333333,0,2534,12171.27234,19492.57276,31663.8451,0.099491961,0.004663097,0.001034959,0.057162706,0,0,0.060870899
EB384,Lombok,Northwest Lombok,LBK_13,M,0.4um,M04,-8.354216667,115.91575,yes,core zone,fishing prohibited,1001.7358,255.4672574,445.1573629,27,31.5,0.103306831,266592,28.84208299,120.1232881,2.8,0.106666667,224,35,289,123,680,341,37,137,53780.58257,10.66666667,44.66666667,0.666666667,38.66666667,4.833333333,0.5,0,1866,32211.33709,21569.24548,53780.58257,0.19893136,0.005386236,0,0.035300472,0,0.002877121,0.037502927
EB388,Lombok,Northwest Lombok,LBK_14,M,0.4um,M04,-8.33785,116.038,yes,sustainable fisheries zone,fishing gear restriction,983.8985673,260.9715059,458.0681195,25.75,30.75,5.468270132,215370,29.94193342,114.6273088,2.266666667,0.343333333,210,48,217,47,466,1419,41,587,68724.67789,34.33333333,24.5,4.666666667,30.83333333,4,1.666666667,0,3035,36438.96532,32285.71257,68724.67789,0.054776154,0.010257192,0,0.036647807,0,0.018505606,0.059500807
EB392,Lombok,Northwest Lombok,LBK_15,M,0.4um,M04,-8.347533333,116.0512833,yes,sustainable fisheries zone,fishing gear restriction,983.8985673,318.9163698,529.5442549,26.75,31,5.468270132,302201,28.4285394,155.231928,1.4,0.096666667,118,36,181,50,366,581,50,539,61919.35554,9.666666667,15.16666667,5.166666667,57.16666667,0.833333333,12,0,1921,27415.77721,34503.57833,61919.35554,0.068191927,NA,NA,NA,NA,NA,NA
EB396,Lombok,Northwest Lombok,LBK_16,M,0.4um,M04,-8.364233333,116.0728167,yes,core zone,fishing prohibited,983.8985673,419.1538228,656.2094798,29.5,31.5,5.468270132,522366,25.94988164,232.2099838,1.333333333,0.046666667,58,21,71,49,744,277,34,105,13959.91798,4.666666667,15.83333333,3.833333333,53.5,20.16666667,2,0,1359,4970.500428,8989.417552,13959.91798,0.039607356,NA,NA,NA,NA,NA,NA
EB4,Waigeo,Waigeo,WGO_02,M,0.4um,M04,-0.597777778,130.6672222,yes,core zone,fishing prohibited,1168.277725,238.5628782,378.1532637,54.75,86.5,0.012624655,2586,443.6293724,124.8388725,NA,NA,13,46,101,48,153,860,39,241,61865.19172,NA,NA,NA,NA,NA,NA,NA,1501,33106.88213,28758.3096,61865.19172,0.095215927,0.02077801,0.006100625,0,0.001148353,0.021208642,0.04923563
EB504,Lombok,Northwest Lombok,LBK_17,M,0.4um,M04,-8.357583333,116.1084333,no,open access,unrestricted fishing,887.2402718,523.2132661,787.5508727,28.25,31,0.026097213,563582,25.89620901,299.2587795,2.866666667,0.22,92,30,123,59,657,147,62,59,16178.49666,22,35.16666667,0.333333333,42.5,0,0,0,1229,3759.821378,12418.67528,16178.49666,0.205718424,NA,NA,NA,NA,NA,NA
EB509,Lombok,Northwest Lombok,LBK_18,M,0.4um,M04,-8.366683333,116.0973333,no,open access,unrestricted fishing,887.2402718,506.4976879,765.332909,29.5,31.5,0.026097213,619752,25.08124962,295.0231069,1.866666667,0.095,106,60,127,89,256,192,81,233,19162.05999,9.5,14.66666667,2.166666667,57.33333333,5,11.33333333,0,1144,7801.427104,11360.63288,19162.05999,0.13974828,NA,NA,NA,NA,NA,NA
EB511,Lombok,South Lombok,LBK_07,M,0.4um,M04,-8.714783333,116.0060333,yes,core zone,fishing prohibited,1404.015926,678.4764527,954.6857068,24.25,43.75,0.015190282,1142039,19.95618161,350.7536803,3.133333333,0.331666667,120,31,86,92,546,751,93,176,41829.80628,33.16666667,12.33333333,2.666666667,39.16666667,1.666666667,11,0,1895,17655.96636,24173.83992,41829.80628,0.147532062,0.002536832,0.001865672,0.017202126,0,0.003794586,0.024569948
EB514,Lombok,South Lombok,LBK_08,M,0.4um,M04,-8.728216667,116.0474667,no,open access,unrestricted fishing,1404.015926,802.3036016,1138.312052,23.5,43,0.000330153,1276749,18.18777291,462.1116356,1.533333333,0.083333333,39,52,69,30,77,514,40,137,19843.90526,8.333333333,12.66666667,1.166666667,77.83333333,0,0,0,958,10858.16354,8985.74172,19843.90526,0.466012243,0.000309629,0.000475059,0.004017928,0.000913576,0,0.004202448
EB518,Lombok,South Lombok,LBK_09,M,0.4um,M04,-8.717316667,116.0393833,no,open access,unrestricted fishing,1404.015926,776.9576279,1114.239115,23,42.75,0.000330153,1261253,17.71208018,424.086804,2.2,0.285,97,29,76,40,257,556,78,127,23664.21206,28.5,11.33333333,0.333333333,57.5,0.166666667,2.166666667,0,1260,8729.314724,14934.89733,23664.21206,0.336713671,0.003990298,0.000547688,0.050465534,0,0.000821532,0.055825052
EB521,Lombok,South Lombok,LBK_10,M,0.4um,M04,-8.718566667,115.9189167,yes,core zone,fishing prohibited,1191.546604,366.7830229,562.0292109,32,37,0.021337688,564351,27.89824543,224.8009218,2.933333333,0.153333333,117,121,201,110,702,1039,95,1227,53993.94615,15.33333333,7.5,11.66666667,11.16666667,1.5,52.83333333,0,3612,17878.8395,36115.10665,53993.94615,0.146241461,0.011125496,0,0.134706329,0,0.013110846,0.153804131
EB524,Lombok,South Lombok,LBK_11,M,0.4um,M04,-8.74945,115.8900833,yes,sustainable fisheries zone,fishing gear restriction,1188.607723,313.1068322,453.6135802,28,35,0.024327871,327465,32.39550275,218.0378464,1.933333333,0.206666667,80,69,102,92,278,731,53,251,28594.78847,20.66666667,11.33333333,2,61.16666667,4.666666667,0.166666667,0,1656,8004.669658,20590.11881,28594.78847,0.310310029,0.008959928,0,0.16505135,0,0.000552232,0.033870225
EB530,Waigeo,Waigeo,WGO_01,M,0.4um,M04,-0.589444444,130.6044444,yes,core zone,fishing prohibited,1210.760869,220.8199418,282.1709788,54.75,77.75,0.052511124,2009,437.1314232,123.3423394,3.7,0.34,20,65,110,45,177,967,25,149,77305.77708,34,14,4.5,22,2,23.5,0,1558,51034.08551,26271.69158,77305.77708,0.336332122,0.026621673,0,0.413507765,0,0,0.42547934
EB534,Waigeo,Waigeo,WGO_02,M,0.4um,M04,-0.597777778,130.6672222,yes,core zone,fishing prohibited,1168.277725,238.5628782,378.1532637,54.75,86.5,0.012624655,2586,443.6293724,124.8388725,NA,NA,13,46,101,48,153,860,39,241,61865.19172,NA,NA,NA,NA,NA,NA,NA,1501,33106.88213,28758.3096,61865.19172,0.095215927,0.02077801,0.006100625,0,0.001148353,0.021208642,0.04923563
EB557,Waigeo,Waigeo,WGO_13,M,0.4um,M04,-0.37,130.4286111,no,open access,unrestricted fishing,1476.165292,24.5823539,42.53845812,34.75,38.5,0.060357717,244,414.99391,21.37600606,3.65,0.2525,6,34,86,28,399,189,19,0,23079.60985,25.25,24.25,0.25,49,0.5,0.75,0,761,3636.044608,19443.56524,23079.60985,0.07095284,0.030840066,0.006854218,0.395505973,0,0,0.365702882
EB568,Waigeo,Waigeo,WGO_19,M,0.4um,M04,-0.47305556,130.8149722,no,open access,unrestricted fishing,1321.066995,442.0738429,688.3363099,27,36.75,1.454178255,4782,464.7805111,311.2472513,4.28,0.24,43,250,92,121,516,1255,33,8,55282.82109,24,19.25,2,0,17,37.75,0,2318,26376.49291,28906.32818,55282.82109,0.034493313,0.007566316,0.006871837,0.360584713,0,0,0.296025873
EB569,Misool,Misool,MIS_01,M,0.4um,M04,-2.2,130.426,yes,sustainable fisheries zone,fishing gear restriction,1404.01078,68.35953696,118.137239,32.25,53.5,0.054234619,819,298.9297626,34.17963054,NA,0.47,25,127,135,114,380,2981,49,0,78711.75863,34.33333333,10.5,19.5,15.83333333,11.83333333,8,0,1169,13431.62054,14517.17876,27948.79929,0.162707359,0,0.004750081,0,0,0.00059376,0.005343841
EB573,Misool,Misool,MIS_01,M,0.4um,M04,-2.2,130.426,yes,sustainable fisheries zone,fishing gear restriction,1404.01078,68.35953696,118.137239,32.25,53.5,0.054234619,819,298.9297626,34.17963054,NA,0.47,25,127,135,114,380,2981,49,0,78711.75863,34.33333333,10.5,19.5,15.83333333,11.83333333,8,0,1169,13431.62054,14517.17876,27948.79929,0.162707359,0,0.004750081,0,0,0.00059376,0.005343841
EB577,Misool,Misool,MIS_02,M,0.4um,M04,-2.229,130.452,yes,tourism zone,fishing prohibited,1259.093633,49.7738794,92.50025843,29,46.75,0.333422533,639,300.2754262,29.69303782,NA,0.198333333,41,102,162,136,333,2217,31,0,116074.3802,19.83333333,26.16666667,13.16666667,9.833333333,12.16666667,18.83333333,0,1929,72539.12079,15035.14727,87574.26806,0.140656786,0,0.00668667,0,0.000342906,0.000342906,0.007372482
EB585,Misool,Misool,MIS_04,M,0.4um,M04,-2.249,130.621,yes,tourism zone,fishing prohibited,1191.603516,18.58439007,30.54718881,10.75,20.25,0.690363493,227,313.556504,14.09842368,3.466666667,0.36,87,121,127,136,225,1896,54,0,81297.93428,39.5,10,6.333333333,23.5,4,16.66666667,0,1574,23253.19025,19266.71532,42519.90557,0.279516296,0,0.000224502,0,0,0,0.000224502
EB589,Misool,Misool,MIS_05,M,0.4um,M04,-2.224,130.605,yes,tourism zone,fishing prohibited,1299.317166,26.70199944,42.51096484,17,27,0.085107878,327,313.4552585,15.38011366,2.4,0.08,24,160,121,159,330,1364,63,0,455543.7015,14.83333333,11.33333333,11.5,3,13.5,45.83333333,0,1227,60115.8367,12774.34075,72890.17746,0.273435543,0.001950968,0.005337554,0,0.006589119,0.000478539,0.01435618
